CUSTOM ENDRO
ASEAN,Indonesia,Thailand,,,,,,,,,,,
ASEAN2,Malaysia,Philipines,,,,,,,,,,,
EAS,Japan,Korea,,,,,,,,,,,
CCC,China,Russia,,,,,,,,,,,
CEI,Polandia,Czech,,,,,,,,,,,
WEU,England,France,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# ASEAN,,,,,,,,,,,,,
TEAM,ASEAN,Thailand,Chulalongkorn University,Chula,44,UNJ,,,,,,,
TEAM,ASEAN,Thailand,Thammasat University,TU,63,UPI,,,,,,,
TEAM,ASEAN,Thailand,Mahidol University,MU,43 UNESA,,,,,,,
TEAM,ASEAN,Thailand,Kasetsart University,KU,62,UNY,,,,,,,
TEAM,ASEAN,Thailand,Chiang Mai University,CMU,58,UB,,,,,,,
TEAM,ASEAN,Thailand,Srinakharinwirot University,SWU,66,UNS,,,,,,,
TEAM,ASEAN,Thailand,Burapha University,BU,64,UM,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Negeri Yogyakarta,UNY,63,KU,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Pendidikan Indonesia,UPI,69,TU,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Negeri Jakarta,UNJ,77,Chula,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Negeri Malang,UM,39,BU,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Sebelas Maret,UNS,59,SWU,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Negeri Surabaya,UNESA,47,MU,,,,,,,
TEAM,ASEAN,Indonesia,Universitas Brawijaya,UB,41,CMU,,,,,,,
# ASEAN2,,,,,,,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Teknologi MARA,UiTM,50,Ateneo,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Putra Malaysia,UPM,69,DLSU,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Malaya,UM,56,UPD,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Sains Malaysia,USM,51,UST,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Teknologi Malaysia,UTM,79,FEU,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Pendidikan Sultan Idris,UPSI,71,NU,,,,,,,
TEAM,ASEAN2,Malaysia,Universiti Malaysia Sarawak,UNIMAS,64,San Beda,,,,,,,
TEAM,ASEAN2,Philippines,San Beda University,San Beda,84,UNIMAS,,,,,,,
TEAM,ASEAN2,Philippines,National University,NU,44,UPSI,,,,,,,
TEAM,ASEAN2,Philippines,Far Eastern University,FEU,62,UTM,,,,,,,
TEAM,ASEAN2,Philippines,UP Diliman,UPD,70,UM,,,,,,,
TEAM,ASEAN2,Philippines,University of Santo Tomas,UST,59,USM,,,,,,,
TEAM,ASEAN2,Philippines,Ateneo de Manila,Ateneo,81,UiTM,,,,,,,
TEAM,ASEAN2,Philippines,De La Salle University,DLSU,70,UPM,,,,,,
# ESA,,,,,,,,,,,,,
TEAM,ESA,Japan,Nippon Sport Science University,NSSU,68,KNSU,,,,,,,
TEAM,ESA,Japan,University of Tsukuba,Tsukuba,48,YIU,,,,,,,
TEAM,ESA,Japan,Juntendo University,Juntendo,38,DKU,,,,,,,
TEAM,ESA,Japan,Waseda University,Waseda,54,KH,,,,,,,
TEAM,ESA,Japan,Keio University,Keio,64,KU,,,,,,,
TEAM,ESA,Japan,Meiji University,Meiji,64,Yonsei,,,,,,,
TEAM,ESA,Japan,Rikkyo University,Rikkyo,49,SKKU,,,,,,,
TEAM,ESA,South Korea,Korea National Sport University,KNSU,74,NSSU,,,,,,,
TEAM,ESA,South Korea,Yong In University,YIU,50,Tsukuba,,,,,,,
